director_name,director_facebook_likes
Mira Nair,300
Marilyn Agrelo,2
Alejandro Amenábar,448
Robert Iscove,7
Danny DeVito,0
Anthony Russo,94
Roman Polanski,2000
Leslie H. Martinson,7
Billy Wilder,0
Christophe Barratier,25
David Nixon,13
Claudia Llosa,43
William Arntz,0
Nicholas Fackler,6
Michael Dougherty,66
Mike Newell,179
Michael Hoffman Jr.,32
Stanley Kramer,176
Fernando Baez Mella,0
Babar Ahmed,0
Rick Friedberg,8
Roger Christian,64
Brett Ratner,840
Chad Kapper,0
Bille August,55
David Winters,49
Rodrigo Cortés,89
James Ivory,133
Olivier Dahan,61
Andy Tennant,72
Hunter Richards,11
Kimberly Peirce,216
Vadim Perelman,26
Dwight H. Little,27
Steven R. Monroe,68
Michael Ritchie,23
Hironobu Sakaguchi,6
Zal Batmanglij,129
Jonathan Glazer,143
Jennifer Flackett,3
Sut Jhally,3
Hong-jin Na,43
Sean Penn,0
Sharon Greytak,0
Jane Clark,23
Darren Grant,0
Justin Chadwick,56
Mimi Leder,75
Mark L. Lester,73
Craig Johnson,7
Tomm Moore,45
Sheldon Lettich,23
Tony Richardson,62
Jonathan Dayton,36
Jeffrey W. Byrd,2
Eric Styles,4
Alex Kendrick,589
Howard Hawks,393
Steve Martino,20
Dan Rush,7
Patrice Leconte,83
Simon Curtis,64
Jake Goldberger,2
John Lasseter,487
Michael Walker,5
Mike Bruce,6
Rusty Cundieff,38
Jonathan Frakes,906
Baz Luhrmann,2000
Ken Shapiro,2
Mary Lambert,52
Oren Moverman,38
Jackie Earle Haley,0
John Putch,60
Robert Towne,162
Vondie Curtis-Hall,170
Simon Wells,25
Michael Chapman,70
Michael Roemer,0
Carmen Marron,29
Gérard Krawczyk,7
Garth Jennings,37
Ethan Maniquis,20
Peter Hastings,0
Paul Weitz,80
Scott Marshall,7
Benjamin Dickinson,4
Alan Parker,317
Lawrence Guterman,6
Kate Connor,27
Sam Miller,12
Bob Rafelson,30
Ole Christian Madsen,28
James Gunn,571
Harold Becker,34
Juan José Campanella,195
David Bowers,42
Davis Guggenheim,49
Ramaa Mosley,6
John Milius,936
Nathan Smith Jones,7
Alan Yuen,0
Shane Carruth,291
Richard Lester,44
Dave Payne,0
George Ratliff,3
Jonathan Parker,0
Anthony Minghella,333
Dennis Hopper,0
Catherine Owens,0
Andrea Arnold,121
Joon-ho Bong,584
David Sington,90
Clark Baker,0
Sai Varadan,0
Brandon Cronenberg,43
Will Gluck,87
Steve Beck,17
Takashi Yamazaki,7
Jeff Burr,155
François Ozon,341
Lance Mungia,4
Hart Bochner,157
Sharon Maguire,11
Jean-Pierre Jeunet,0
Raymond De Felitta,20
Joshua Marston,13
Emily Young,6
Gerry Lively,93
John Boorman,128
Frank Miller,436
Shyam Madiraju,0
Lexi Alexander,189
Ol Parker,21
Ric Roman Waugh,58
Jeff Kanew,6
Gordon Chan,4
Nick Murphy,58
Dennis Gansel,23
Quentin Tarantino,16000
Eric Bugbee,0
Martin Campbell,516
Joel Anderson,0
David Cronenberg,0
Enrique Begne,0
Eric Brevig,40
Pascal Arnold,0
Harry Beaumont,4
Tony Giglio,6
Jonathan Kaplan,57
Rob Marshall,252
Andrew Dominik,181
Claude Chabrol,324
Brad Copeland,8
Mario Van Peebles,535
John Patrick Shanley,53
Jane Campion,319
Ken Roht,0
David Hayter,512
Bob Dolman,7
Aleksey German,23
Michael Winterbottom,374
Jeff Crook,5
Hans Canosa,3
Patrick Gilmore,0
Brian Gibson,13
Nicholas Jarecki,27
Chris Paine,2
Edgar Wright,1000
Doug Lefler,4
Don Siegel,152
Michael Gornick,10
Salim Akil,70
Guillaume Ivernel,0
Kevin Smith,0
Christopher McQuarrie,376
Jim Amatulli,0
Brian Yuzna,97
Mike Cahill,135
Melvin Van Peebles,101
Kevin Reynolds,58
Jorma Taccone,434
Gabriela Tagliavini,20
Steve Gomer,9
Jim Sonzero,2
Vivek Agnihotri,5
Charlie Kaufman,0
Rand Ravich,14
Mennan Yapo,9
Kevin Costner,0
Jessy Terrero,29
Bobby Farrelly,101
Efram Potelle,2
Sidney J. Furie,22
Curtis Hanson,161
Arthur Hiller,71
Prachya Pinkaew,64
Susanna White,24
Mike Nawrocki,12
Roger Donaldson,79
Marc Lawrence,30
Luis Llosa,49
Amat Escalante,50
Scott Waugh,76
Robert Lorenz,39
Al Silliman Jr.,0
Stephan Elliott,11
Kelly Asbury,21
John 'Bud' Cardos,8
Joseph Mazzella,0
Joe Cornish,115
Michael Moore,909
Roger Vadim,35
Mark Romanek,132
Charles Adelman,0
Don Mancini,64
Gerard Johnstone,3
Christophe Gans,50
Shane Meadows,222
Patrick Hughes,385
Bill Paxton,0
Analeine Cal y Mayor,4
Nancy Meyers,278
Stanley Kubrick,0
Stefen Fangmeier,14
Marcos Siega,32
Bronwen Hughes,15
Robby Henson,9
Michael Landon Jr.,84
Noah Baumbach,387
Lowell Sherman,16
Richard E. Grant,554
Nicholas Meyer,120
Marius A. Markevicius,6
Noel Marshall,4
Levan Gabriadze,6
Lorene Scafaria,63
Peter Flinth,5
Scott Alexander,25
D.W. Griffith,204
Rob Minkoff,50
Lisa Azuelos,15
Camille Delamarre,11
Finn Taylor,4
Joseph Zito,17
David Caffrey,4
Dan Reed,3
Jason Moore,36
Paul King,17
Wayne Beach,7
Simon Napier-Bell,0
Andrew Jarecki,46
Mateo Gil,3
Jason Reitman,1310
J. Lee Thompson,88
Joe Pytka,30
Matt Williams,18
Tony Maylam,6
Robert Ben Garant,134
Jorge Gaggero,0
Michael Cristofer,49
Cecil B. DeMille,309
Sadyk Sher-Niyaz,135
Callie Khouri,144
Steve Hickner,58
Jake Paltrow,17
James Gray,115
Jody Hill,62
Wolfgang Becker,31
Shekhar Kapur,159
Daniel Schechter,8
Matt Dillon,0
Nicole Holofcener,132
Wayne Thornley,0
Scandar Copti,13
Zackary Adler,0
Chris Shadley,0
Kerry Conran,14
Russell Holt,0
Arie Posin,3
Chris Columbus,0
Matthew Diamond,12
Phil Alden Robinson,31
Katherine Dieckmann,8
Amanda Gusack,0
Michel Leclerc,3
Vijay Chandar,0
Scott Smith,2
Tom Shadyac,293
Harley Cokeliss,4
Robinson Devor,14
Florian Henckel von Donnersmarck,414
Myles Berkowitz,0
Dominic Sena,57
Ben Falcone,265
Robert Harmon,11
Gavin O'Connor,149
D.J. Caruso,308
Tim Chambers,2
Martin Ritt,58
Neil LaBute,119
Andrew Stanton,475
Jerome Elston Scott,3
James Nunn,16
Frederik Du Chau,7
Jeffrey St. Jules,0
Guy Maddin,126
Deon Taylor,26
James Watkins,43
David E. Talbert,68
Scott Mann,16
Richard Montoya,12
Andrew Davis,99
Larry Blamire,56
Stevan Mena,25
Brian De Palma,0
Sam Weisman,39
Peter Chelsom,23
Stephen Herek,65
Jérôme Deschamps,0
Dominique Othenin-Girard,2
Phil Traill,3
Todd Solondz,377
Mark Rydell,43
Adam Rapp,9
Tom Elkins,14
Tony Goldwyn,956
Luke Greenfield,42
Jamie Babbit,91
Leslye Headland,21
Melville Shavelson,5
Christopher Guest,378
Juraj Jakubisko,15
Richard Marquand,37
Kenneth Lonergan,50
Gore Verbinski,563
Marc Forster,395
Dave Carroll,0
Fred Wolf,29
Genndy Tartakovsky,266
Lawrence Kasanoff,11
Andrzej Bartkowiak,43
Sarik Andreasyan,9
Nils Gaup,8
Chris Rock,0
Andrew Haigh,131
Jon Hess,29
Antoine Fuqua,847
Joe Roth,148
Christopher Spencer,25
Asger Leth,20
Rob Hawk,97
Gary McKendry,5
François Girard,63
Maurizio Benazzo,0
Frank Lotito,5
Ken Annakin,19
Richard Boddington,15
Brad Bird,663
Alan Metter,3
Jonathan Liebesman,946
Gaspar Noé,929
Jerome Robbins,34
William Phillips,3
Paul Verhoeven,1438
Laurence Dunmore,2
Jerry Belson,3
Morgan Neville,9
David Yates,564
Ken Loach,644
Scott Hicks,96
Daniele Luchetti,6
Barrett Esposito,0
Edward Dmytryk,74
Scott Foley,0
Rob Cohen,1071
Jean-Jacques Mantello,0
Jonathan Wacks,0
Jason Friedberg,82
Chris Koch,13
Walter Salles,179
Ingmar Bergman,0
Jan de Bont,101
Ayan Mukerji,0
Jerry Zaks,4
Gil Kenan,27
Daniel Barber,12
Daston Kalili,2
Wayne Wang,61
Dean Parisot,23
Neil Burger,336
Kirsten Sheridan,59
Jason Eisener,59
Rohit Jagessar,0
Ossie Davis,282
David Cross,0
Richard Curtis,628
Terence Davies,25
Barbet Schroeder,116
Ruba Nadda,55
George Nolfi,53
Michael Meredith,7
Shinji Aramaki,21
John Eng,0
Oliver Blackburn,4
Wolfgang Petersen,249
Gerald Potterton,0
Kim Nguyen,16
Ryan Murphy,708
Nadine Labaki,0
Aaron Seltzer,64
Jason Connery,110
Jamal Hill,47
Len Wiseman,235
Don Coscarelli,152
Lewis Gilbert,43
James Isaac,52
Kevin Bray,10
José Padilha,588
Chris Eyre,149
Steven Quale,77
Luis Mandoki,43
David Mamet,342
Glen Morgan,17
Giovanni Zelko,4
Michael Cimino,517
Dave Green,13
Mike Figgis,81
Reginald Hudlin,71
Sue Corcoran,14
Étienne Faure,77
Lance Hool,0
Hitoshi Matsumoto,17
Brian Klugman,49
Costa-Gavras,333
Sergey Bondarchuk,27
James Kerwin,0
John G. Avildsen,160
Anthony C. Ferrante,48
Jon Favreau,8000
Marcus Raboy,7
Roger Michell,50
Lucrecia Martel,33
Jonathan Hensleigh,36
Kenny Ortega,197
Floria Sigismondi,50
Robin Budd,2
Al Franklin,0
Dennis Iliadis,58
John Badham,139
Gurinder Chadha,98
Steve Rash,15
Fernando León de Aranoa,58
Brett Piper,7
Peter Billingsley,0
Peter Lepeniotis,7
Yash Chopra,147
Eric Leighton,0
John Stainton,0
Masayuki Ochiai,5
Paul Weiland,10
Bruce Campbell,0
Joe Camp,24
Kevin Hamedani,23
Antonio Banderas,0
Michael Dowse,31
Chris Wedge,77
Laurie Collyer,38
Joshua Tickell,9
Lori Silverbush,5
Rian Johnson,0
Eric Valette,2
James Dodson,8
Peter DeLuise,358
Fred Dekker,87
Phillip Noyce,176
Jon Stewart,593
Andy Fickman,99
Forest Whitaker,0
James Marsh,120
Ashish R. Mohan,2
Jez Butterworth,16
Michael Winner,136
Michel Orion Scott,0
Abel Ferrara,220
Mel Smith,302
Mona Fastvold,2
Henry Bean,21
Stefan C. Schaefer,0
Robert Hall,53
Eli Craig,27
Akira Kurosawa,0
Bruce Hunt,2
Antonia Bird,61
Pat Holden,6
Brandon Camp,7
Olivier Megaton,118
Fatih Akin,766
Jimmy Hayward,39
Perry Lang,17
Leslie Small,15
Hao Ning,0
Jerry Dugan,3
Debra Granik,81
Tony Bill,23
Joel Gallen,11
Pascal Chaumeil,8
Francesca Gregorini,15
Alan Cohn,0
Jean-François Richet,25
Thomas Vinterberg,346
Ari Folman,56
Blair Hayes,2
Adrian Lyne,213
Cyrus Nowrasteh,19
Thomas L. Phillips,120
Mike Mayhall,14
Lee Tamahori,93
Walt Becker,12
Nickolas Perry,5
Kaige Chen,45
Kasi Lemmons,148
Boaz Yakin,132
David Frankel,64
Andrew Leman,2
Douglas Aarniokoski,36
Jaime Zevallos,228
Rowan Joffe,17
Jonathan Jakubowicz,23
Eugène Lourié,7
Tadeo Garcia,5
Sean Durkin,46
Thor Freudenthal,87
Damon Santostefano,4
Gillian Robespierre,9
Rupert Sanders,274
Michael Corrente,30
David Mirkin,7
Igor Kovalyov,5
Tim Boxell,10
Dewey Nicks,4
Troy Duffy,78
Gary Hardwick,10
Wayne Kramer,47
Brad Furman,65
Johnnie To,143
D. Stevens,6
Anand Tucker,14
John R. Leonetti,40
William H. Macy,0
Eric Bross,49
Alex Proyas,295
David Lean,767
Jay Levey,3
Joe Kenemore,0
Anton Corbijn,210
Darren Aronofsky,0
Éric Tessier,0
Darin Scott,39
Rob Zombie,0
Brian Dannelly,12
Chris Robinson,49
Gregory Hoblit,40
Pan Nalin,95
David Oelhoffen,2
Robert Rossen,31
Karim Aïnouz,19
Khalid Mohamed,10
Uli Edel,34
John Ford,673
Jon Avnet,50
Philip Kaufman,133
Stefan Ruzowitzky,24
Lynne Ramsay,159
Kevin Greutert,52
Kimble Rendall,0
Tamara Jenkins,84
Agustín Díaz Yanes,13
Alexander Witt,38
Derek Cianfrance,310
Peter Farrelly,137
Moustapha Akkad,278
John Duigan,18
Russell Friedenberg,9
Rob Reiner,0
Rupert Wyatt,162
Lone Scherfig,92
Mark Tarlov,3
Courtney Hunt,33
Justin Thomas Ostensen,0
Joss Whedon,0
Clark Gregg,0
Jonas Elmer,3
David O. Russell,737
Newt Arnold,15
Rick Bieber,11
Andy Cadiff,6
Phil Claydon,6
Peter Atencio,10
Irwin Winkler,34
Frédéric Auburtin,18
Woody Allen,11000
Tom Sanchez,0
Vincent Paronnaud,10
James Bridges,21
Gabe Ibáñez,19
Ash Baron-Cohen,3
Michael Patrick King,127
Jérôme Salle,22
Joel Edgerton,0
Dan Cutforth,4
David Carson,18
Mathieu Kassovitz,326
Jonathan English,9
Martin Brest,102
Karen Moncrieff,22
Jay Alaimo,2
Gabriele Muccino,125
Taylor Hackford,138
John Herzfeld,17
Giuseppe Tornatore,911
Aaron Hann,0
Peter Medak,34
Paolo Monico,3
Guy Ritchie,0
Victor Fleming,149
Gil Junger,19
Sylvain Chomet,162
Orson Welles,0
Léa Pool,4
Drew Barrymore,0
Mark Young,14
George Hickenlooper,60
Mark Sandrich,10
Paul Greengrass,521
Christopher M. Bessette,0
Darren Stein,18
Stewart Raffill,12
Caryn Waechter,0
Steve Oedekerk,176
John Frankenheimer,287
Rich Christiano,14
Carroll Ballard,19
Kevin Munroe,14
Frank Darabont,0
Floyd Mutrux,11
Alan Alda,0
Maggie Greenwald,9
Andrew Adamson,80
Duane Journey,2
Tamra Davis,66
Steve Barron,48
Edward Hall,0
Lee Daniels,608
Wych Kaosayananda,8
Raja Gosnell,67
Todd Graff,650
Patrick Tatopoulos,148
Robert Lee King,0
Daniel Algrant,3
Phil Lord,97
Mark Helfrich,7
Tom Hanks,15000
Bruce Beresford,78
Tuck Tucker,14
Lance Rivera,3
Jeff Lowell,4
Ken Kwapis,42
Warren Sheppard,0
Sam Martin,0
Zack Snyder,0
Phyllida Lloyd,58
Marc F. Adler,0
Oliver Parker,32
Philip G. Atwell,5
Benedikt Erlingsson,4
Francis Lawrence,508
Joan Chen,643
James Foley,164
Cal Brunker,7
Lajos Koltai,45
S.S. Rajamouli,50
John Gray,29
Gonzalo López-Gallego,17
Li Zhang,0
Lionel C. Martin,3
Tom Vaughan,12
Mic Rodgers,7
Rohan Sippy,4
Chris Marker,121
William Friedkin,1214
Hayley Cloake,0
Carlos Carrera,12
Albert Hughes,234
Alex Cox,92
Risa Bramon Garcia,112
Jeremy Saulnier,57
Wade Gasque,0
Paul Bartel,43
Paul Feig,352
Allan Dwan,23
Anthony Silverston,0
Craig R. Baxley,22
Troy Nixey,24
Jim Jarmusch,0
Simeon Rice,6
RZA,561
C. Jay Cox,6
Emily Dell,0
Robert Bennett,15
Errol Morris,239
Mort Nathan,2
Tom Ford,192
William Kaufman,58
Bruce Macdonald,103
Sam Peckinpah,541
Duke Johnson,26
J.J. Abrams,14000
Rob Pritts,5
Renny Harlin,212
Josh Gordon,8
Cody Cameron,18
Justin Molotnikov,5
Jesse Vaughan,10
Sam Mendes,0
Fede Alvarez,201
J.A. Bayona,171
Jorge R. Gutiérrez,34
Morgan Spurlock,293
Mathieu Amalric,412
Catherine Hardwicke,616
Ronald Neame,38
Ernie Barbarash,249
Juan Carlos Fresnadillo,35
Jeremy Sims,8
A. Raven Cruz,0
Christopher Leitch,4
Richard Rich,24
Luke Dye,0
John Carpenter,0
Bo Welch,34
Michael Sucsy,23
Ron Clements,63
Peter Howitt,29
John Hoffman,9
Mitch Davis,7
Daniel Barnz,33
Michael Taliferro,105
Kriv Stenders,25
Jonathan Caouette,20
Graham Annable,7
Jake Schreier,14
Liv Ullmann,440
Paul Gross,329
Steven Spielberg,14000
Shane Dawson,247
Chris Stokes,548
Anthony Mann,75
Bill Condon,772
Neal Brennan,23
Kyle Balda,22
Mark A.Z. Dippé,20
David Raynr,9
Conor McMahon,5
Hsiao-Hsien Hou,141
Ekachai Uekrongtham,3
John Turturro,0
Olatunde Osunsanmi,58
Neill Blomkamp,662
Stephen Chbosky,139
Mark Herman,39
K. King,3
Tim Miller,84
Brian Robbins,48
Shawn Levy,378
Paul Tibbitt,5
Thomas Lilti,12
Ivan Engler,0
Mariette Monpierre,0
Damien Dante Wayans,82
Steve Bendelack,68
Allison Anders,99
Michael Bay,0
Collin Schiffli,4
Grant Heslov,293
Elizabeth Banks,0
Lori Petty,923
Jon M. Chu,209
Patrick Gilles,0
Mark Piznarski,4
Daniel Davila,0
Deborah Anderson,4
Gary Sherman,17
Rupert Wainwright,9
Alec Asten,5
John Guillermin,71
Stuart Beattie,72
Michael Clancy,0
Stéphane Aubier,2
Beeban Kidron,17
Dave Meyers,11
Alejandro Agresti,18
Alex Ranarivelo,20
Vicente Amorim,6
Andrés Couturier,0
Robert D. Webb,0
John Landis,644
Steve Buscemi,12000
Robert Butler,0
Ted Post,57
Kevin Carraway,2
Michael Lembeck,54
Niels Arden Oplev,76
Michael Mann,0
John Cornell,5
Wil Shriner,6
Sara Newens,0
Mike Mills,101
Derrick Borte,17
Stephen Kijak,3
Klaus Menzel,34
Janusz Kaminski,710
Mary Harron,126
Ruben Fleischer,181
Sam Levinson,8
Todd Phillips,480
Sam Fell,18
Majid Majidi,373
Peter Kosminsky,7
Rodman Flender,6
Danny Boyle,0
David G. Evans,0
Mick Jackson,81
Bruno Barreto,9
Fabián Bielinsky,44
Alice Wu,13
Scott Stewart,124
John Carney,109
Marc Abraham,18
William A. Fraker,28
Jack Perez,19
Ciarán Foy,11
Sam Taylor-Johnson,456
Patricia Riggen,36
Etan Cohen,164
Mora Stephens,5
Carl Franklin,73
Fred Schepisi,40
Amy Holden Jones,11
Meiert Avis,0
Mark Griffiths,4
Anne Fontaine,105
Jonas Åkerlund,68
John Simpson,0
Zack Ward,662
Jon Shear,0
Howard Hughes,177
Gary David Goldberg,30
Robert Adetuyi,8
Michael Apted,150
Alfred Hitchcock,13000
Randal Kleiser,116
Marc Webb,464
Alfonso Cuarón,0
John Gulager,38
Ryan Little,38
Jamie Travis,15
Brenton Spencer,0
Michel Gondry,1000
Brian Levant,32
Rob Letterman,22
Matthew Hastings,3
David R. Ellis,320
Chris Roberts,38
Tran Anh Hung,157
Tim Hill,25
Oleg Stepchenko,0
Christopher Cain,58
Sam Raimi,0
Bob Giraldi,34
David Worth,58
Peter Jackson,0
Robert Altman,500
John Maclean,85
Ryan Smith,4
Emma-Kate Croghan,0
Malcolm D. Lee,92
Lance Kawas,66
Denis Villeneuve,777
Vic Armstrong,358
Charles Chaplin,0
Kat Coiro,28
Dan Scanlon,37
Sean Anders,51
Pete Travis,76
Jesse Peretz,37
Jim Field Smith,14
Johnny Remo,74
Catherine Gund,0
Kirk De Micco,16
Sofia Coppola,0
Doug Liman,218
Rodrigo García,127
Mike Marvin,28
Christian E. Christiansen,26
Jon Knautz,10
Wes Craven,0
Vipul Amrutlal Shah,11
Darren Lynn Bousman,163
Thomas Carter,49
Leon Ichaso,5
Ben Lewin,20
Barry Sonnenfeld,188
Chris Weitz,129
Alan Poul,16
David DeCoteau,142
Colin Minihan,6
Pete Jones,18
Adam Rifkin,89
Roger Avary,675
Becky Smith,32
Jeannot Szwarc,82
Oliver Stone,0
Keenen Ivory Wayans,322
Gary Chapman,2
Tony Jaa,0
Mamoru Hosoda,99
Shimit Amin,6
Ralph Ziman,5
Marielle Heller,22
Alan Taylor,230
Angela Robinson,23
Steven Brill,65
Joe Cross,65
Saul Dibb,10
Michael Herz,6
Tom Kalin,4
Fred Zinnemann,160
Will Canon,8
Alex Gibney,141
Greg Mottola,99
Blair Erickson,0
Nick Hurran,34
Alex van Warmerdam,53
Tommy Lee Wallace,24
Michael D. Sellers,0
Clark Johnson,69
Joe Marino,0
Ron Fricke,330
Giuliano Montaldo,4
Frank Marshall,155
Wes Ball,47
Vicky Jewson,3
Mor Loushy,0
Billy Kent,0
Dito Montiel,68
Bill Muir,19
Peter Ramsey,52
Brian Trenchard-Smith,53
Daniel Hsia,0
Timothy Hines,0
Fenton Bailey,13
Hue Rhodes,0
Andrea Di Stefano,30
Sergio Leone,0
Shona Auerbach,11
Andrew Morahan,5
Brad Anderson,122
Salvador Carrasco,22
Damien O'Donnell,70
William A. Graham,8
Peter Stebbings,89
Mark Brown,7
Joe Chappelle,13
Peter MacDonald,10
Eric Blakeney,3
Mabel Cheung,3
Eric Lavaine,0
Alejandro Monteverde,38
Jeff Franklin,24
Rowdy Herrington,9
Guillaume Canet,0
Colin Trevorrow,365
Craig Moss,19
Peter Care,0
Phil Joanou,21
Peter Hewitt,12
Emile Ardolino,22
Ken Del Conte,2
Tom Gormican,19
Sanjay Rawal,0
Louis Morneau,38
Peter Berg,532
Cameron Crowe,976
Christopher Erskin,4
Anne Fletcher,98
Tony Bancroft,7
Gillian Armstrong,44
Ron Underwood,31
Gus Van Sant,835
Matt Walsh,490
Jill Sprecher,11
Lasse Hallström,529
Gary Shore,28
Patricia Cardoso,15
Richard Attenborough,0
Frank Sebastiano,3
Taedong Park,0
Daniel Petrie Jr.,19
Eli Roth,0
Adam Goldberg,1000
James Mottern,7
David Koepp,192
James McTeigue,160
Todd Field,143
Joe Carnahan,248
Harald Zwart,91
Dan Zukovic,8
Jeff Garlin,522
Danny Steinmann,13
Frank Perry,24
John Wells,53
Eric Schaeffer,71
Carlos Saldanha,107
Ben Affleck,0
Steven E. de Souza,133
Chuck Sheetz,6
Danny Leiner,8
William Wyler,355
Stephen Kay,19
Howard Deutch,41
Steven Seagal,0
John Reinhardt,2
Sammo Kam-Bo Hung,472
Tom Tykwer,670
Christian Duguay,18
Ivan Kavanagh,18
Josh Trank,256
Bob Odenkirk,0
Robert Luketic,126
Jennifer Finnigan,246
Dagur Kári,29
Andrés Muschietti,127
Whit Stillman,89
Douglas Cheek,4
Petter Næss,16
John Pasquin,11
Robert Zemeckis,0
Florent-Emilio Siri,17
Nick Gomez,22
Corbin Bernsen,1000
Nancy Walker,42
Ava DuVernay,151
Daniel Sackheim,12
Adam McKay,285
Pedro Almodóvar,0
Timothy Woodward Jr.,764
Richard Brooks,174
Shane Acker,30
Conor McPherson,0
Scott Derrickson,602
James Bidgood,0
David Schwimmer,0
Tay Garnett,10
Craig Bolotin,7
John Schlesinger,154
Alex Smith,12
Ralph Nelson,17
Mel Brooks,0
Julie Davis,12
Joshua Seftel,0
Elizabeth Allen Rosenbaum,20
Bryan Barber,16
Bob Spiers,14
Carter Smith,27
Dennis Dugan,221
Gregory Poirier,5
R.J. Cutler,15
Michael Tiddes,89
Miranda July,244
Cheryl Dunye,17
Bruce Dellis,0
James Gartner,0
Rohit Jugraj,2
Luca Guadagnino,64
Charles Shyer,14
Patrick Meaney,3
Todd Haynes,162
Hyung-rae Shim,26
Craig Brewer,153
Chuck Bowman,42
Andrew Hyatt,7
Lynn Shelton,100
Ray Lawrence,10
Georg Wilhelm Pabst,21
Guy Hamilton,82
Lloyd Bacon,24
Gary Rogers,0
Kiyoshi Kurosawa,62
Eric Eason,3
Mark Christopher,15
Christian Sesma,9
Charlie Levi,0
Jim Mickle,53
Steve Box,9
Jennifer Wynne Farmer,0
Randall Wallace,130
Peter Weir,608
Alison Maclean,7
Ben Stiller,0
Jacob Aaron Estes,9
Reinhard Klooss,7
Jean-Luc Godard,0
Matt Cimber,32
Jamie Blanks,9
Eddie O'Flaherty,3
Rob Hedden,6
Victor Salva,108
Danny Perez,0
Antonio Simoncini,0
Bob Clark,84
Tim Johnson,36
Susan Seidelman,39
Gregor Jordan,34
Hilary Brougher,0
Stephen Gaghan,158
Jon Amiel,36
Dan Perri,0
Nigel Cole,13
Akiva Schaffer,164
Robert Eggers,22
James Manera,0
Ellory Elkayem,11
Mark Steven Johnson,160
Russ Meyer,199
Malcolm Goodwin,117
Richard Linklater,0
Steve Trenbirth,0
Michael Hoffman,97
Peter Webber,73
Tony Scott,12000
Keith Gordon,200
Elaine May,124
Kurt Hale,0
Jason Alexander,700
Guillermo del Toro,0
Jerry Zucker,109
Agnieszka Wojtowicz-Vosloo,0
John Hamburg,29
David S. Ward,42
Peter Landesman,15
Lucio Fulci,385
Britt Allcroft,2
JK Youn,2
Tim McCanlies,23
Uwe Boll,892
Mary McGuckian,6
Christopher Scott Cherot,21
Justin Lin,681
Paul Crowder,10
Noah Buschel,8
Ron Shelton,41
David Hewlett,1372
Rich Cowan,7
Kelly Reichardt,129
Peter Hedges,54
Ken Scott,31
Don Taylor,11
Harmony Korine,520
Jean-Jacques Annaud,218
Stephen Norrington,45
Katsuhiro Ôtomo,78
Jean-Marc Vallée,212
Marianna Palka,123
Adrienne Shelly,191
R. Balki,12
Allen Hughes,90
J.B. Rogers,6
Jean-Paul Rappeneau,22
Anthony Vallone,2
Dan Ireland,137
Richard Williams,18
Nelson McCormick,29
Paul Schrader,522
James David Pasternak,0
Nicholaus Goossen,4
Dean DeBlois,255
Don Bluth,383
Jay Chandrasekhar,422
Stiles White,10
Nae Caranfil,34
Deepa Mehta,375
Joshua Oppenheimer,50
Jon Cassar,156
Mike Flanagan,59
